This is testing for fprintf...
Data @ Index 924: df57
Data @ Index 925: de44
Data @ Index 926: dd6c
Data @ Index 927: dc1e
Data @ Index 928: dc8c
Data @ Index 929: e2e0
Data @ Index 930: eb81
Data @ Index 931: f46f
Data @ Index 932: fd3f
Data @ Index 933: 6b9
Data @ Index 934: 10bc
Data @ Index 935: 1a81
Data @ Index 936: 2529
Data @ Index 937: 3036
Data @ Index 938: 38fb
Data @ Index 939: 393b
Data @ Index 940: 32c5
Data @ Index 941: 2b43
Data @ Index 942: 2426
Data @ Index 943: 1cbd
Data @ Index 944: 14cc
Data @ Index 945: bff
Data @ Index 946: 2f1
Data @ Index 947: f8b5
Data @ Index 948: ef30
Data @ Index 949: e976
Data @ Index 950: e752
Data @ Index 951: e5fa
Data @ Index 952: e473
Data @ Index 953: e322
Data @ Index 954: e141
Data @ Index 955: e03d
Data @ Index 956: df44
Data @ Index 957: de60
Data @ Index 958: dd2d
Data @ Index 959: dbce
Data @ Index 960: dd5a
Data @ Index 961: e469
Data @ Index 962: ecf2
Data @ Index 963: f54f
Data @ Index 964: fe3e
Data @ Index 965: 782
Data @ Index 966: 112c
Data @ Index 967: 1b6d
Data @ Index 968: 26c3
Data @ Index 969: 31b8
Data @ Index 970: 392c
Data @ Index 971: 37e4
Data @ Index 972: 311e
Data @ Index 973: 29d8
Data @ Index 974: 231c
Data @ Index 975: 1c04
Data @ Index 976: 142d
Data @ Index 977: be4
Data @ Index 978: 22e
Data @ Index 979: f85f
Data @ Index 980: ef8d
Data @ Index 981: ea74
Data @ Index 982: e7c2
Data @ Index 983: e66d
Data @ Index 984: e4b5
Data @ Index 985: e35b
Data @ Index 986: e217
Data @ Index 987: e09a
Data @ Index 988: df20
Data @ Index 989: de12
Data @ Index 990: dc7e
Data @ Index 991: db4b
Data @ Index 992: ddab
Data @ Index 993: e48d
Data @ Index 994: ecfd
Data @ Index 995: f5b9
Data @ Index 996: fe4e
Data @ Index 997: 7c1
Data @ Index 998: 11b6
Data @ Index 999: 1bbb
Data @ Index 1000: 2711
Data @ Index 1001: 31d3
Data @ Index 1002: 3900
Data @ Index 1003: 3780
Data @ Index 1004: 3191
Data @ Index 1005: 29f6
Data @ Index 1006: 23c9
Data @ Index 1007: 1c6a
Data @ Index 1008: 13df
Data @ Index 1009: b72
Data @ Index 1010: 2d7
Data @ Index 1011: f9af
Data @ Index 1012: f0cf
Data @ Index 1013: ebb3
Data @ Index 1014: e85a
Data @ Index 1015: e6e2
Data @ Index 1016: e504
Data @ Index 1017: e37d
Data @ Index 1018: e25e
Data @ Index 1019: e159
Data @ Index 1020: df3d
Data @ Index 1021: dd90
Data @ Index 1022: dc87
